frame,time_s,band_energy,mask_raw,mask_morph
0,0.042666666666666665,0.09425049922518962,0,0
1,0.064,0.06450498388858136,0,0
2,0.08533333333333333,0.07684388055421496,0,0
3,0.10666666666666667,0.1362439055001707,0,0
4,0.128,0.1236137716666971,0,0
5,0.14933333333333335,0.07245219790692524,0,0
6,0.17066666666666666,0.04007395801668752,0,0
7,0.192,0.042951214581409436,0,0
8,0.21333333333333335,0.06823142483902292,0,0
9,0.23466666666666666,0.062135265687773375,0,0
10,0.256,0.052402794648984265,0,0
11,0.2773333333333333,0.07112683476247877,0,0
12,0.2986666666666667,0.08306532618029466,0,0
13,0.32,0.0830992970600496,0,0
14,0.3413333333333333,0.07361996592684489,0,0
15,0.3626666666666667,0.15917201480221196,1,1
16,0.384,0.16999848142658067,1,1
17,0.4053333333333333,0.18868098158228674,1,1
18,0.4266666666666667,0.14575025076090772,0,0
19,0.448,0.11026018970226213,0,0
20,0.4693333333333333,0.07511506259086768,0,0
21,0.49066666666666664,0.10742212413060155,0,0
22,0.512,0.10486555675162527,0,0
23,0.5333333333333333,0.15538646204331363,0,0
24,0.5546666666666666,0.12458541670314094,0,0
25,0.576,0.07237885470255782,0,0
26,0.5973333333333334,0.08156815911242139,0,0
27,0.6186666666666667,0.093129561372788,0,0
28,0.64,0.10148422631901427,0,0
29,0.6613333333333333,0.12234862301154084,0,0
30,0.6826666666666666,0.10038751611817472,0,0
31,0.704,0.10446084043195948,0,0
32,0.7253333333333334,0.06331538264810738,0,0
33,0.7466666666666667,0.06393238753793197,0,0
34,0.768,0.0734586298392095,0,0
35,0.7893333333333333,0.07778127140496872,0,0
36,0.8106666666666666,0.04240331115631014,0,0
37,0.832,0.07342497883596381,0,0
38,0.8533333333333334,0.06712798247541372,0,0
39,0.8746666666666667,0.08798848525820285,0,0
40,0.896,0.07240324178431115,0,0
41,0.9173333333333333,0.09103414436167664,0,0
42,0.9386666666666666,0.07065174352715752,0,0
43,0.96,0.09742256517993159,0,0
44,0.9813333333333333,0.07960048146236609,0,0
45,1.0026666666666666,0.03472311905861611,0,0
46,1.024,0.05408326383157822,0,0
47,1.0453333333333332,0.14937326240856938,0,0
48,1.0666666666666667,0.12512684338176555,0,0
49,1.088,0.05440789966612887,0,0
50,1.1093333333333333,0.03593684937817644,0,0
51,1.1306666666666667,0.08398986738471541,0,0
52,1.152,0.0999464027880141,0,0
53,1.1733333333333333,0.07918708813032849,0,0
54,1.1946666666666668,0.04251696190988372,0,0
55,1.216,0.028924374683254074,0,0
56,1.2373333333333334,0.04366185027819708,0,0
57,1.2586666666666666,0.026649683642848983,0,0
58,1.28,0.0570175263203467,0,0
59,1.3013333333333332,0.08049071755114491,0,0
60,1.3226666666666667,0.07495600497059325,0,0
61,1.344,0.1265023556224059,0,0
62,1.3653333333333333,0.17148483614212,1,0
63,1.3866666666666667,0.10240789164862973,0,0
64,1.408,0.06191931507613075,0,0
65,1.4293333333333333,0.047847484491858445,0,0
66,1.4506666666666668,0.08457361626421901,0,0
67,1.472,0.06905578941887007,0,0
68,1.4933333333333334,0.10554058746697012,0,0
69,1.5146666666666666,0.11322819414404407,0,0
70,1.536,0.06498561698772914,0,0
71,1.5573333333333332,0.014431652810372862,0,0
72,1.5786666666666667,0.05157452515928091,0,0
73,1.6,0.0851877233397321,0,0
74,1.6213333333333333,0.07842198978286799,0,0
75,1.6426666666666667,0.04142320642277385,0,0
76,1.664,0.05800618708260204,0,0
77,1.6853333333333333,0.08267321532779862,0,0
78,1.7066666666666668,0.0820586487252898,0,0
79,1.728,0.05627813838710577,0,0
80,1.7493333333333334,0.04897063561371579,0,0
81,1.7706666666666666,0.0618913778252933,0,0
82,1.792,0.11401747108426762,0,0
83,1.8133333333333332,0.09735294642176995,0,0
84,1.8346666666666667,0.046568920919825146,0,0
85,1.856,0.06206455987963721,0,0
86,1.8773333333333333,0.07341647490781453,0,0
87,1.8986666666666667,0.07980337058776911,0,0
88,1.92,0.13911548488198758,0,0
89,1.9413333333333334,0.10629323757369832,0,0
90,1.9626666666666666,0.04500941463071269,0,0
91,1.984,0.04161064722212297,0,0
92,2.005333333333333,0.04658912601523264,0,0
93,2.026666666666667,0.12246780815265806,0,0
94,2.048,0.11175338041249071,0,0
95,2.0693333333333332,0.08436114535030075,0,0
96,2.0906666666666665,0.0549390403350958,0,0
97,2.112,0.03819793877073712,0,0
98,2.1333333333333333,0.04713719407094086,0,0
99,2.1546666666666665,0.07593009784612714,0,0
100,2.176,0.08564322488675248,0,0
101,2.1973333333333334,0.0965611308391538,0,0
102,2.2186666666666666,0.06555366158159828,0,0
103,2.24,0.042985611928496405,0,0
104,2.2613333333333334,0.045720068741840036,0,0
105,2.2826666666666666,0.06203079330095398,0,0
106,2.304,0.07878986158790713,0,0
107,2.3253333333333335,0.08022208994650244,0,0
